epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,5061.78,1.5227,1.20585,1.07595,0.8293,0.8292,0.84119,0.39183,1.67887,1.22904,1.17371,0.0069805,0.0069805,0.0069805
124,5102.97,1.51038,1.20295,1.07357,0.83351,0.8332,0.84415,0.40475,1.52434,1.26242,1.12455,0.00695575,0.00695575,0.00695575
125,5144.22,1.53626,1.20136,1.07381,0.83414,0.823,0.8439,0.40397,1.52701,1.26919,1.12301,0.006931,0.006931,0.006931
126,5185.37,1.53941,1.20866,1.09521,0.82676,0.82968,0.83293,0.39578,1.57105,1.25887,1.1384,0.00690625,0.00690625,0.00690625
127,5226.51,1.52714,1.20103,1.07319,0.83638,0.83204,0.84947,0.41193,1.45457,1.27986,1.10391,0.0068815,0.0068815,0.0068815
128,5267.7,1.50923,1.20089,1.07097,0.83229,0.83446,0.84638,0.41016,1.4677,1.25626,1.10638,0.00685675,0.00685675,0.00685675
129,5308.86,1.51588,1.1925,1.06965,0.83315,0.85044,0.85225,0.41359,1.44016,1.27127,1.09801,0.006832,0.006832,0.006832
130,5349.94,1.51831,1.19896,1.07448,0.83406,0.83943,0.84589,0.41047,1.45801,1.27209,1.10148,0.00680725,0.00680725,0.00680725
131,5391.12,1.51403,1.19088,1.06683,0.834,0.84644,0.84852,0.41267,1.43881,1.27956,1.09961,0.0067825,0.0067825,0.0067825
132,5432.29,1.51981,1.19362,1.07147,0.82663,0.846,0.84629,0.4086,1.51126,1.259,1.1208,0.00675775,0.00675775,0.00675775
133,5473.43,1.51379,1.20445,1.06881,0.84003,0.838,0.84407,0.41105,1.45598,1.28386,1.10376,0.006733,0.006733,0.006733
134,5514.61,1.52271,1.19629,1.06755,0.8315,0.8435,0.84512,0.40962,1.47682,1.26416,1.10805,0.00670825,0.00670825,0.00670825
135,5555.81,1.51752,1.18625,1.07007,0.83171,0.83762,0.84454,0.40854,1.47747,1.26521,1.10609,0.0066835,0.0066835,0.0066835
136,5597.11,1.51548,1.20022,1.06953,0.82767,0.83951,0.83798,0.40205,1.5276,1.25916,1.12201,0.00665875,0.00665875,0.00665875
137,5638.47,1.50974,1.19901,1.06726,0.83097,0.84417,0.84567,0.40649,1.48357,1.26946,1.10691,0.006634,0.006634,0.006634
138,5679.53,1.5159,1.18304,1.0662,0.82924,0.84225,0.84511,0.41049,1.46424,1.26285,1.10337,0.00660925,0.00660925,0.00660925
139,5720.67,1.50682,1.19277,1.06717,0.83583,0.83409,0.84473,0.4098,1.46608,1.28424,1.10454,0.0065845,0.0065845,0.0065845
140,5761.87,1.5181,1.19252,1.06525,0.83166,0.82874,0.84256,0.4038,1.53213,1.26515,1.12479,0.00655975,0.00655975,0.00655975
141,5803.03,1.51108,1.19121,1.06524,0.82753,0.84695,0.84241,0.40787,1.4862,1.27479,1.10898,0.006535,0.006535,0.006535
142,5844.01,1.50328,1.18363,1.06446,0.8286,0.84533,0.84401,0.40684,1.51361,1.26248,1.11762,0.00651025,0.00651025,0.00651025
143,5885.28,1.50886,1.19388,1.06858,0.83011,0.84291,0.84169,0.40579,1.49218,1.27671,1.11047,0.0064855,0.0064855,0.0064855
144,5926.34,1.50948,1.18489,1.06675,0.83325,0.82932,0.84447,0.40213,1.59597,1.2444,1.14511,0.00646075,0.00646075,0.00646075
145,5967.55,1.50285,1.19858,1.0731,0.83419,0.83902,0.84898,0.4113,1.48553,1.2678,1.10871,0.006436,0.006436,0.006436
146,6008.91,1.51717,1.20233,1.06868,0.83077,0.84405,0.85082,0.41158,1.50998,1.24768,1.11573,0.00641125,0.00641125,0.00641125
147,6050.04,1.50541,1.18734,1.06489,0.83183,0.84499,0.84699,0.41174,1.47436,1.26755,1.10628,0.0063865,0.0063865,0.0063865
148,6091.35,1.50289,1.18639,1.06728,0.83099,0.85112,0.8519,0.41433,1.45999,1.26273,1.10145,0.00636175,0.00636175,0.00636175
149,6132.47,1.50418,1.18291,1.06418,0.83251,0.84724,0.84866,0.41235,1.46102,1.27092,1.10215,0.006337,0.006337,0.006337
150,6173.76,1.51471,1.18431,1.06941,0.83124,0.83492,0.84431,0.40369,1.57536,1.24779,1.13708,0.00631225,0.00631225,0.00631225
151,6214.75,1.51222,1.17948,1.06128,0.83146,0.84348,0.8476,0.41036,1.4952,1.25245,1.11036,0.0062875,0.0062875,0.0062875
152,6256,1.49983,1.17664,1.06201,0.83037,0.84199,0.84675,0.41095,1.52422,1.24451,1.12188,0.00626275,0.00626275,0.00626275
153,6297.2,1.4984,1.18339,1.06264,0.8322,0.83688,0.84502,0.41037,1.51172,1.25242,1.11764,0.006238,0.006238,0.006238
154,6338.33,1.5013,1.17777,1.06294,0.83535,0.84078,0.85039,0.41593,1.44028,1.27569,1.09646,0.00621325,0.00621325,0.00621325
155,6379.88,1.50451,1.18319,1.06691,0.83417,0.84533,0.84998,0.41458,1.46552,1.26736,1.10435,0.0061885,0.0061885,0.0061885
156,6420.99,1.50393,1.1817,1.06812,0.83333,0.84269,0.84675,0.41434,1.48321,1.26423,1.10956,0.00616375,0.00616375,0.00616375
157,6462.33,1.51082,1.27766,1.07547,0.83638,0.8446,0.85064,0.41656,1.44689,1.2641,1.09884,0.006139,0.006139,0.006139
158,6503.46,1.50031,1.17845,1.06457,0.83477,0.83968,0.84765,0.41408,1.46095,1.26715,1.10213,0.00611425,0.00611425,0.00611425
159,6544.76,1.5022,1.17577,1.06063,0.82913,0.84085,0.84874,0.41353,1.47129,1.26384,1.10548,0.0060895,0.0060895,0.0060895
160,6585.91,1.49754,1.17385,1.05854,0.83235,0.84592,0.84952,0.41631,1.44531,1.26674,1.098,0.00606475,0.00606475,0.00606475
161,6627.12,1.50251,1.17171,1.05826,0.83398,0.83887,0.84543,0.41114,1.51012,1.26787,1.11852,0.00604,0.00604,0.00604
162,6668.26,1.50221,1.17852,1.06281,0.83625,0.84166,0.84707,0.41467,1.47038,1.27077,1.10542,0.00601525,0.00601525,0.00601525
163,6709.53,1.50009,1.17585,1.06008,0.83375,0.84306,0.84886,0.41772,1.44938,1.27214,1.09902,0.0059905,0.0059905,0.0059905
164,6750.8,1.49918,1.18552,1.06551,0.83249,0.84755,0.84697,0.4155,1.44201,1.27264,1.09683,0.00596575,0.00596575,0.00596575
165,6792,1.4965,1.18589,1.0632,0.83567,0.84702,0.84807,0.4163,1.4401,1.26739,1.09707,0.005941,0.005941,0.005941
166,6833.28,1.4947,1.18756,1.06194,0.83826,0.84173,0.85142,0.41921,1.42839,1.27093,1.09427,0.00591625,0.00591625,0.00591625
167,6874.46,1.49592,1.1721,1.06475,0.83793,0.84179,0.85001,0.41852,1.43632,1.26527,1.09706,0.0058915,0.0058915,0.0058915
168,6915.7,1.50672,1.18251,1.07015,0.83939,0.8425,0.85018,0.41825,1.44367,1.26287,1.09924,0.00586675,0.00586675,0.00586675
169,6957.03,1.4924,1.18014,1.06031,0.83982,0.84284,0.84869,0.41929,1.42343,1.27351,1.09298,0.005842,0.005842,0.005842
170,6998.03,1.49196,1.18909,1.0675,0.8366,0.84754,0.8514,0.41896,1.4248,1.27352,1.09289,0.00581725,0.00581725,0.00581725
171,7039.2,1.49779,1.1831,1.06324,0.83751,0.84262,0.85004,0.41755,1.43326,1.27213,1.09403,0.0057925,0.0057925,0.0057925
172,7080.36,1.49212,1.16993,1.06272,0.83789,0.84349,0.84837,0.41799,1.43538,1.27074,1.095,0.00576775,0.00576775,0.00576775
173,7121.5,1.49186,1.17972,1.06056,0.83553,0.84617,0.85101,0.41904,1.44021,1.26999,1.09622,0.005743,0.005743,0.005743
174,7162.57,1.48277,1.16803,1.06238,0.83736,0.84622,0.85135,0.41812,1.43419,1.26831,1.09563,0.00571825,0.00571825,0.00571825
175,7203.65,1.49455,1.17521,1.05717,0.84027,0.84066,0.84859,0.4163,1.44448,1.27393,1.09713,0.0056935,0.0056935,0.0056935
176,7244.75,1.48694,1.16092,1.06003,0.83716,0.84802,0.85021,0.41981,1.43743,1.26089,1.09764,0.00566875,0.00566875,0.00566875
177,7285.86,1.49542,1.17351,1.0623,0.8378,0.8435,0.84745,0.41756,1.43335,1.26661,1.09546,0.005644,0.005644,0.005644
178,7327.06,1.49303,1.17468,1.062,0.83956,0.84512,0.84936,0.4181,1.43496,1.26454,1.0962,0.00561925,0.00561925,0.00561925
179,7368.24,1.48553,1.17717,1.06228,0.84161,0.839,0.84752,0.4188,1.43506,1.26797,1.09523,0.0055945,0.0055945,0.0055945
180,7408.97,1.48023,1.16192,1.05799,0.8382,0.84592,0.84881,0.41966,1.4286,1.26856,1.0953,0.00556975,0.00556975,0.00556975
181,7449.8,1.49548,1.17092,1.05853,0.83964,0.84021,0.85014,0.42052,1.43062,1.2677,1.09584,0.005545,0.005545,0.005545
